model_uncertainty,measurement_uncertainty,error_x,error_y
0.005,0.005,0.12748902,0.13271241
0.005,0.01,0.17032227,0.17920959
0.005,0.02,0.20787963,0.21397889
0.005,0.05,0.23020752,0.24382263
0.005,0.1,0.26569703,0.29318663
0.01,0.005,0.09635864,0.09630554
0.01,0.01,0.13607666,0.12996887
0.01,0.02,0.17512695,0.18997926
0.01,0.05,0.20753907,0.22682801
0.01,0.1,0.2663855,0.26399657
0.02,0.005,0.06420532,0.064246826
0.02,0.01,0.08859985,0.09174011
0.02,0.02,0.13265869,0.1349945
0.02,0.05,0.17398193,0.17756286
0.02,0.1,0.21074829,0.21848693
0.05,0.005,0.03189453,0.0315155
0.05,0.01,0.05487549,0.054662477
0.05,0.02,0.08795044,0.08423706
0.05,0.05,0.13325317,0.1409613
0.05,0.1,0.16409668,0.17541748
0.1,0.005,0.017381592,0.017318726
0.1,0.01,0.03274536,0.031492308
0.1,0.02,0.054436035,0.05588196
0.1,0.05,0.09814941,0.09409302
0.1,0.1,0.13885254,0.13764465
