model_uncertainty,measurement_uncertainty,error_x,error_y
1e-06,0.01,0.82438415,0.79568666
1e-06,0.1,0.6139264,0.6133377
1e-06,1.0,0.5346973,0.543584
1e-06,10.0,1.4044037,1.3782327
1e-06,100.0,3.1278973,3.0341673
1e-05,0.01,0.3309259,0.34394744
1e-05,0.1,0.42030334,0.40628234
1e-05,1.0,0.54880494,0.5221643
1e-05,10.0,1.0625634,1.0757248
1e-05,100.0,3.3541791,3.282576
0.0001,0.01,0.30896363,0.3212674
0.0001,0.1,0.32574403,0.33029723
0.0001,1.0,0.41321838,0.42526704
0.0001,10.0,1.2486255,1.2098655
0.0001,100.0,2.9889624,2.970658
0.001,0.01,0.23918945,0.24790588
0.001,0.1,0.29267272,0.29137024
0.001,1.0,0.44256347,0.46668488
0.001,10.0,0.96708435,0.92611176
0.001,100.0,2.8086054,2.7728376
0.01,0.01,0.135896,0.13745484
0.01,0.1,0.26156005,0.25232393
0.01,1.0,0.36421144,0.3702707
0.01,10.0,0.7245398,0.7189111
0.01,100.0,2.2676134,2.2035139
0.0020000000949949026,0.004999999888241291,0.17713745,0.17638123
0.0020000000949949026,0.007499999832361937,0.20064087,0.21404296
0.0020000000949949026,0.009999999776482582,0.22135253,0.2165564
0.0020000000949949026,0.012500000186264515,0.23064575,0.22836609
0.0020000000949949026,0.014999999664723873,0.24852295,0.24824859
0.006000000052154064,0.004999999888241291,0.122310184,0.1257785
0.006000000052154064,0.007499999832361937,0.1427008,0.14710297
0.006000000052154064,0.009999999776482582,0.16191955,0.16822845
0.006000000052154064,0.012500000186264515,0.17260315,0.17480591
0.006000000052154064,0.014999999664723873,0.17770325,0.1902594
0.009999999776482582,0.004999999888241291,0.10029053,0.097366944
0.009999999776482582,0.007499999832361937,0.117979124,0.118703
0.009999999776482582,0.009999999776482582,0.13269532,0.13381225
0.009999999776482582,0.012500000186264515,0.14388916,0.14987488
0.009999999776482582,0.014999999664723873,0.15568359,0.15519196
0.014000000432133675,0.004999999888241291,0.08199524,0.08175354
0.014000000432133675,0.007499999832361937,0.10363525,0.0996933
0.014000000432133675,0.009999999776482582,0.118547365,0.1172229
0.014000000432133675,0.012500000186264515,0.1296582,0.13038757
0.014000000432133675,0.014999999664723873,0.13543151,0.13836822
0.017999999225139618,0.004999999888241291,0.07032898,0.070898436
0.017999999225139618,0.007499999832361937,0.08798157,0.08888916
0.017999999225139618,0.009999999776482582,0.10281799,0.104323424
0.017999999225139618,0.012500000186264515,0.11443054,0.115412906
0.017999999225139618,0.014999999664723873,0.124769285,0.12417389
0.003599999938160181,0.0024999999441206455,0.113240354,0.11841797
0.003599999938160181,0.0037499999161809683,0.13426453,0.14051789
0.003599999938160181,0.004999999888241291,0.15070373,0.15334931
0.003599999938160181,0.00624999962747097,0.16076599,0.16578124
0.003599999938160181,0.007499999832361937,0.16799499,0.16761932
0.010799999348819256,0.0024999999441206455,0.062120363,0.06331268
0.010799999348819256,0.0037499999161809683,0.08025513,0.0804364
0.010799999348819256,0.004999999888241291,0.093063354,0.09496491
0.010799999348819256,0.00624999962747097,0.10604309,0.106219485
0.010799999348819256,0.007499999832361937,0.115510255,0.12068054
0.017999999225139618,0.0024999999441206455,0.042893067,0.04335388
0.017999999225139618,0.0037499999161809683,0.05852295,0.05739868
0.017999999225139618,0.004999999888241291,0.07008362,0.070071414
0.017999999225139618,0.00624999962747097,0.080036014,0.08136444
0.017999999225139618,0.007499999832361937,0.08855591,0.09044403
0.025199998170137405,0.0024999999441206455,0.03257324,0.03239746
0.025199998170137405,0.0037499999161809683,0.044838868,0.045116577
0.025199998170137405,0.004999999888241291,0.056015626,0.056263734
0.025199998170137405,0.00624999962747097,0.06448425,0.06463379
0.025199998170137405,0.007499999832361937,0.073320314,0.07301941
0.03239999711513519,0.0024999999441206455,0.026651612,0.026916504
0.03239999711513519,0.0037499999161809683,0.0371698,0.03682892
0.03239999711513519,0.004999999888241291,0.046672363,0.04565857
0.03239999711513519,0.00624999962747097,0.055336915,0.054935914
0.03239999711513519,0.007499999832361937,0.06349792,0.062464904
0.006479999516159296,0.0012499999720603228,0.055151977,0.05527313
0.006479999516159296,0.0018749999580904841,0.07203064,0.071184084
0.006479999516159296,0.0024999999441206455,0.08532898,0.085542604
0.006479999516159296,0.003124999813735485,0.09543946,0.097668454
0.006479999516159296,0.0037499999161809683,0.107723996,0.10665314
0.019439999014139175,0.0012499999720603228,0.022824097,0.022776185
0.019439999014139175,0.0018749999580904841,0.03207947,0.03250122
0.019439999014139175,0.0024999999441206455,0.040704954,0.040830385
0.019439999014139175,0.003124999813735485,0.04748413,0.047939148
0.019439999014139175,0.0037499999161809683,0.054625243,0.05492279
0.03239999711513519,0.0012499999720603228,0.01461792,0.014255371
0.03239999711513519,0.0018749999580904841,0.020664062,0.020956116
0.03239999711513519,0.0024999999441206455,0.026574098,0.026256103
0.03239999711513519,0.003124999813735485,0.032556154,0.032265015
0.03239999711513519,0.0037499999161809683,0.037142944,0.03724945
0.04535999521613121,0.0012499999720603228,0.010667725,0.010701904
0.04535999521613121,0.0018749999580904841,0.01538269,0.015314636
0.04535999521613121,0.0024999999441206455,0.019739991,0.019876404
0.04535999521613121,0.003124999813735485,0.02428833,0.024253845
0.04535999521613121,0.0037499999161809683,0.02823059,0.028220825
0.05831999331712723,0.0012499999720603228,0.008264771,0.008301391
0.05831999331712723,0.0018749999580904841,0.012228394,0.012186584
0.05831999331712723,0.0024999999441206455,0.015610962,0.015763855
0.05831999331712723,0.003124999813735485,0.019318238,0.01922699
0.05831999331712723,0.0037499999161809683,0.02277466,0.022951355
0.01166399847716093,0.0006249999860301614,0.019194946,0.019407654
0.01166399847716093,0.0009374999790452421,0.027756957,0.027334595
0.01166399847716093,0.0012499999720603228,0.03501648,0.035252076
0.01166399847716093,0.0015624999068677425,0.042767335,0.041682128
0.01166399847716093,0.0018749999580904841,0.047999877,0.04782837
0.03499199450016022,0.0006249999860301614,0.0070117186,0.0070776367
0.03499199450016022,0.0009374999790452421,0.0104528805,0.0101272585
0.03499199450016022,0.0012499999720603228,0.013377685,0.013682251
0.03499199450016022,0.0015624999068677425,0.016480712,0.016461182
0.03499199450016022,0.0018749999580904841,0.019354248,0.01920288
0.05831999331712723,0.0006249999860301614,0.0042877197,0.0042559817
0.05831999331712723,0.0009374999790452421,0.0063378904,0.0063098143
0.05831999331712723,0.0012499999720603228,0.008347168,0.008408203
0.05831999331712723,0.0015624999068677425,0.010210571,0.010165405
0.05831999331712723,0.0018749999580904841,0.01201355,0.012080078
0.08164799213409424,0.0006249999860301614,0.0030670166,0.0030541993
0.08164799213409424,0.0009374999790452421,0.0045385743,0.0044839475
0.08164799213409424,0.0012499999720603228,0.0059851073,0.0059799193
0.08164799213409424,0.0015624999068677425,0.00743042,0.007453308
0.08164799213409424,0.0018749999580904841,0.008897095,0.008731384
0.10497599095106125,0.0006249999860301614,0.0023773194,0.0023742677
0.10497599095106125,0.0009374999790452421,0.0035363769,0.0035671997
0.10497599095106125,0.0012499999720603228,0.0047357175,0.004640503
0.10497599095106125,0.0015624999068677425,0.0058117677,0.0058154296
0.10497599095106125,0.0018749999580904841,0.006984253,0.006934509
