model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,7.674626,35.916504,0.21083333333333334
1e-06,0.1,1.1869539,0.9492242,0.09583333333333334
1e-06,1.0,1.8979764,1.4129156,0.06666666666666667
1e-06,10.0,2.8447266,2.1423929,0.0475
1e-06,100.0,7.6855364,5.4427094,0.0375
1e-05,0.01,2.6777277,2.0283763,0.005
1e-05,0.1,3.7575455,2.8069038,0.004166666666666667
1e-05,1.0,4.3612323,3.3372498,0.014166666666666666
1e-05,10.0,8.148535,5.9790382,0.019166666666666665
1e-05,100.0,25.403975,18.736366,0.0175
0.0001,0.01,4.1202025,2.8120239,0.0025
0.0001,0.1,5.185444,3.7010176,0.0025
0.0001,1.0,6.5111585,4.6597757,0.006666666666666667
0.0001,10.0,12.622223,9.428818,0.008333333333333333
0.0001,100.0,34.702408,25.413736,0.011666666666666667
0.001,0.01,3.9966867,3.442409,0.004166666666666667
0.001,0.1,5.578125,4.273391,0.0016666666666666668
0.001,1.0,8.579233,5.1165586,0.0025
0.001,10.0,19.081217,12.685445,0.005
0.001,100.0,46.552124,33.643208,0.006666666666666667
0.01,0.01,3.2406561,2.3977163,0.0016666666666666668
0.01,0.1,7.0388184,5.060536,0.0025
0.01,1.0,8.421143,6.1217527,0.004166666666666667
0.01,10.0,19.723316,14.218042,0.004166666666666667
0.01,100.0,39.69542,29.01865,0.005
2.0000000233721948e-07,0.05000000074505806,7.16078,5.2808704,0.0025
2.0000000233721948e-07,0.07500000298023224,7.954834,5.429389,0.0016666666666666668
2.0000000233721948e-07,0.10000000149011612,8.168023,5.773763,0.0025
2.0000000233721948e-07,0.125,8.27121,5.972229,0.0016666666666666668
2.0000000233721948e-07,0.15000000596046448,9.700256,6.7862244,0.0016666666666666668
6.000000212225132e-07,0.05000000074505806,3.4947205,2.6511993,0.0025
6.000000212225132e-07,0.07500000298023224,8.100311,5.7935333,0.0025
6.000000212225132e-07,0.10000000149011612,8.240095,5.6508613,0.0016666666666666668
6.000000212225132e-07,0.125,6.014195,3.9689069,0.0016666666666666668
6.000000212225132e-07,0.15000000596046448,8.605678,6.0074463,0.0016666666666666668
9.999999974752427e-07,0.05000000074505806,9.005895,6.0486016,0.0016666666666666668
9.999999974752427e-07,0.07500000298023224,8.550642,6.033587,0.0016666666666666668
9.999999974752427e-07,0.10000000149011612,8.925746,6.368199,0.0016666666666666668
9.999999974752427e-07,0.125,5.113851,3.811259,0.0016666666666666668
9.999999974752427e-07,0.15000000596046448,6.2063394,4.93101,0.0025
1.3999999737279722e-06,0.05000000074505806,9.090413,6.747396,0.0025
1.3999999737279722e-06,0.07500000298023224,10.151652,7.5852256,0.0025
1.3999999737279722e-06,0.10000000149011612,5.8420815,4.486328,0.0033333333333333335
1.3999999737279722e-06,0.125,10.221883,7.569641,0.0025
1.3999999737279722e-06,0.15000000596046448,12.053101,8.705383,0.0025
1.7999999499807018e-06,0.05000000074505806,11.829224,8.516255,0.0025
1.7999999499807018e-06,0.07500000298023224,9.239787,6.3629966,0.0016666666666666668
1.7999999499807018e-06,0.10000000149011612,6.304891,4.354777,0.0016666666666666668
1.7999999499807018e-06,0.125,6.8282714,5.720679,0.0025
1.7999999499807018e-06,0.15000000596046448,7.6723146,5.073926,0.0025
2.0000000233721948e-07,0.05000000074505806,3.020459,2.4051757,0.0016666666666666668
2.0000000233721948e-07,0.07500000298023224,3.563086,2.8278565,0.0025
2.0000000233721948e-07,0.10000000149011612,7.900244,6.8626223,0.0025
2.0000000233721948e-07,0.125,3.4699218,2.660254,0.0016666666666666668
2.0000000233721948e-07,0.15000000596046448,3.6726074,2.9821777,0.0016666666666666668
6.000000212225132e-07,0.05000000074505806,8.531982,6.172168,0.0025
6.000000212225132e-07,0.07500000298023224,3.6875,3.0729492,0.0016666666666666668
6.000000212225132e-07,0.10000000149011612,8.484619,6.209375,0.0025
6.000000212225132e-07,0.125,6.768799,5.151807,0.0016666666666666668
6.000000212225132e-07,0.15000000596046448,5.7551756,5.262305,0.0025
9.999999974752427e-07,0.05000000074505806,8.821386,6.978003,0.0025
9.999999974752427e-07,0.07500000298023224,5.94082,4.172461,0.0016666666666666668
9.999999974752427e-07,0.10000000149011612,3.5967407,2.874817,0.0016666666666666668
9.999999974752427e-07,0.125,0.059448242,0.118652344,0.0025
9.999999974752427e-07,0.15000000596046448,0.054016113,0.0005187988,0.0025
1.3999999737279722e-06,0.05000000074505806,2.4231567,1.8383179,0.0016666666666666668
1.3999999737279722e-06,0.07500000298023224,3.355713,2.6490173,0.0016666666666666668
1.3999999737279722e-06,0.10000000149011612,3.6306763,2.8291016,0.0016666666666666668
1.3999999737279722e-06,0.125,0.0,0.0,0.0025
1.3999999737279722e-06,0.15000000596046448,0.06573486,0.065704346,0.0025
1.7999999499807018e-06,0.05000000074505806,0.043884277,0.04397583,0.0025
1.7999999499807018e-06,0.07500000298023224,4.5316772,3.551941,0.0016666666666666668
1.7999999499807018e-06,0.10000000149011612,4.2840576,3.238037,0.0016666666666666668
1.7999999499807018e-06,0.125,3.8294678,3.0088806,0.0016666666666666668
1.7999999499807018e-06,0.15000000596046448,4.375244,3.333496,0.0016666666666666668
