model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,126.229744,126.34586,0.35
1e-06,0.1,32.952164,32.928265,1.165
1e-06,1.0,30.329325,30.548689,2.5
1e-06,10.0,41.463192,40.40354,2.27
1e-06,100.0,31.628645,27.091198,4.5
1e-05,0.01,30.213772,30.250053,0.345
1e-05,0.1,27.873571,27.966784,2.05
1e-05,1.0,42.285835,42.302994,1.72
1e-05,10.0,31.57642,31.756147,3.32
1e-05,100.0,48.220314,47.100704,3.18
0.0001,0.01,229.3344,229.332,0.86
0.0001,0.1,33.298985,33.336697,0.98
0.0001,1.0,33.559353,33.667824,2.56
0.0001,10.0,44.365593,44.405212,2.505
0.0001,100.0,38.438103,38.627472,3.88
0.001,0.01,463.5877,463.59143,0.435
0.001,0.1,48.77588,48.776127,1.775
0.001,1.0,44.86207,44.90731,2.01
0.001,10.0,41.38833,41.498566,3.13
0.001,100.0,45.91765,46.094875,3.415
0.01,0.01,178.60602,178.6065,0.54
0.01,0.1,28.47084,28.476479,1.445
0.01,1.0,41.163414,41.175785,2.375
0.01,10.0,45.181946,45.220886,2.785
0.01,100.0,43.9056,44.0126,3.91
2.0000000233721948e-07,50.0,49.160263,43.021843,3.28
2.0000000233721948e-07,75.0,46.513725,39.241154,3.59
2.0000000233721948e-07,100.0,52.64491,44.944515,3.575
2.0000000233721948e-07,125.0,48.095837,39.81181,4.06
2.0000000233721948e-07,150.0,54.024143,45.170628,3.82
6.000000212225132e-07,50.0,43.958313,39.898396,3.665
6.000000212225132e-07,75.0,49.638336,45.101025,3.46
6.000000212225132e-07,100.0,45.280003,39.63454,3.76
6.000000212225132e-07,125.0,52.46609,46.747936,3.535
6.000000212225132e-07,150.0,47.198627,41.26982,4.045
9.999999974752427e-07,50.0,51.026352,48.05593,3.225
9.999999974752427e-07,75.0,42.4624,38.123398,3.68
9.999999974752427e-07,100.0,49.80828,46.094982,3.41
9.999999974752427e-07,125.0,41.621464,36.400356,3.865
9.999999974752427e-07,150.0,45.44303,41.422348,3.935
1.3999999737279722e-06,50.0,45.42411,42.834145,3.44
1.3999999737279722e-06,75.0,47.49971,44.391068,3.56
1.3999999737279722e-06,100.0,47.048767,43.377964,3.805
1.3999999737279722e-06,125.0,41.07947,37.182144,3.615
1.3999999737279722e-06,150.0,50.753654,46.533768,3.575
1.7999999499807018e-06,50.0,42.722748,40.49035,3.61
1.7999999499807018e-06,75.0,49.530407,47.061153,3.465
1.7999999499807018e-06,100.0,44.236908,40.84887,3.945
1.7999999499807018e-06,125.0,50.62513,47.403538,3.67
1.7999999499807018e-06,150.0,40.084366,36.12146,4.22
2.0000000233721948e-07,50.0,51.67127,45.65571,2.9
2.0000000233721948e-07,75.0,42.585457,35.846043,3.98
2.0000000233721948e-07,100.0,50.244457,42.798923,3.45
2.0000000233721948e-07,125.0,47.691917,39.50992,4.01
2.0000000233721948e-07,150.0,52.786884,44.066475,3.86
6.000000212225132e-07,50.0,39.517174,35.464474,3.59
6.000000212225132e-07,75.0,51.335976,47.065006,3.16
6.000000212225132e-07,100.0,43.36094,37.781902,4.035
6.000000212225132e-07,125.0,50.856358,45.491306,3.545
6.000000212225132e-07,150.0,44.75436,38.510563,4.18
9.999999974752427e-07,50.0,48.17815,45.43996,3.18
9.999999974752427e-07,75.0,35.488556,31.75895,3.875
9.999999974752427e-07,100.0,51.558956,47.98832,3.205
9.999999974752427e-07,125.0,39.282963,34.21145,4.27
9.999999974752427e-07,150.0,52.10006,47.730965,3.575
1.3999999737279722e-06,50.0,38.615646,35.79255,3.775
1.3999999737279722e-06,75.0,49.418163,46.794872,3.215
1.3999999737279722e-06,100.0,32.143684,28.432152,4.205
1.3999999737279722e-06,125.0,51.866196,48.512444,3.09
1.3999999737279722e-06,150.0,38.119545,33.36182,4.465
1.7999999499807018e-06,50.0,48.74862,46.94142,2.985
1.7999999499807018e-06,75.0,39.21645,36.13532,4.065
1.7999999499807018e-06,100.0,50.78153,48.12613,3.355
1.7999999499807018e-06,125.0,36.4305,32.647182,4.26
1.7999999499807018e-06,150.0,53.00759,49.85797,3.39
