X,Y,Time
1914.0,1397.0,0.40137386322021484
1914.0,1397.0,0.4420599937438965
1914.0,1397.0,0.4827120304107666
1913.0,1397.0,0.5196559429168701
1913.0,1397.0,0.5759930610656738
1914.0,1397.0,0.6209967136383057
1918.0,1399.0,0.6593730449676514
1918.0,1399.0,0.6975538730621338
1918.0,1399.0,0.7340879440307617
1918.0,1399.0,0.777998685836792
1918.0,1399.0,0.8372390270233154
1918.0,1399.0,0.8787918090820312
1918.0,1399.0,0.9284977912902832
1918.0,1399.0,0.9816849231719971
1918.0,1399.0,1.0193579196929932
1918.0,1399.0,1.0618748664855957
1914.0,1398.0,1.0987129211425781
1914.0,1398.0,1.1356737613677979
1914.0,1397.0,1.1736550331115723
1914.0,1397.0,1.2106449604034424
1913.0,1397.0,1.2478718757629395
1913.0,1397.0,1.2912650108337402
1914.0,1397.0,1.3351407051086426
1914.0,1397.0,1.381377935409546
1914.0,1397.0,1.4233877658843994
1914.0,1397.0,1.4593877792358398
1914.0,1397.0,1.500349998474121
1914.0,1397.0,1.5376167297363281
1914.0,1397.0,1.5784339904785156
1918.0,1399.0,1.615048885345459
1918.0,1399.0,1.6526288986206055
1918.0,1399.0,1.6892528533935547
1918.0,1399.0,1.72843599319458
1918.0,1399.0,1.7649810314178467
1918.0,1399.0,1.804703950881958
1918.0,1399.0,1.8415138721466064
1918.0,1399.0,1.879835844039917
1918.0,1400.0,1.9164657592773438
1918.0,1400.0,1.9546489715576172
1918.0,1400.0,1.9914770126342773
1918.0,1400.0,2.0308339595794678
1918.0,1400.0,2.070863723754883
1918.0,1400.0,2.1107020378112793
1914.0,1397.0,2.147634983062744
1914.0,1397.0,2.191617965698242
1914.0,1397.0,2.2326509952545166
1914.0,1397.0,2.269739866256714
1913.0,1397.0,2.3105897903442383
1913.0,1397.0,2.3483309745788574
1914.0,1397.0,2.3910510540008545
1914.0,1397.0,2.429183006286621
1914.0,1397.0,2.465709924697876
1914.0,1397.0,2.5025320053100586
1914.0,1397.0,2.5394978523254395
1918.0,1399.0,2.5761399269104004
1918.0,1399.0,2.613389015197754
1918.0,1399.0,2.6500468254089355
1918.0,1399.0,2.68664288520813
1918.0,1399.0,2.723407745361328
1918.0,1399.0,2.7599568367004395
1918.0,1399.0,2.7987277507781982
1918.0,1399.0,2.835622787475586
1918.0,1400.0,2.8725759983062744
1918.0,1400.0,2.9104340076446533
1918.0,1399.0,2.94736385345459
1918.0,1399.0,2.984895944595337
1918.0,1400.0,3.021636724472046
