model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,4.302436,1.4162592,0.0125
1e-06,0.1,5.9124904,1.3131735,0.0825
1e-06,1.0,5.8000226,1.4219724,0.3675
1e-06,10.0,2.9713624,1.4335672,0.9825
1e-06,100.0,19.821697,6.0704846,0.765
1e-05,0.01,11.761094,2.1579537,0.005
1e-05,0.1,4.355791,1.4821302,0.0625
1e-05,1.0,6.141524,2.0509088,0.3125
1e-05,10.0,3.9003844,1.3398138,0.8925
1e-05,100.0,9.362797,1.8194586,0.98
0.0001,0.01,3.5643873,1.8264802,0.0075
0.0001,0.1,14.580713,4.346252,0.04
0.0001,1.0,19.939949,4.9661407,0.4125
0.0001,10.0,9.165186,1.8661652,0.5925
0.0001,100.0,12.259117,2.527436,0.8625
0.001,0.01,1.5802753,0.7713315,0.0325
0.001,0.1,6.956979,1.8060092,0.0575
0.001,1.0,12.384446,2.5283718,0.185
0.001,10.0,3.2818134,1.4772458,0.9525
0.001,100.0,8.746416,1.0941262,0.985
0.01,0.01,0.6244531,0.33370635,0.1625
0.01,0.1,14.042746,2.7334092,0.0175
