model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,1.4045101,0.46558064,0.06666666666666667
1e-06,0.1,3.3336313,0.7169234,0.14
1e-06,1.0,4.133392,1.0454683,0.4666666666666667
1e-06,10.0,1.8534456,1.2003332,0.9933333333333333
1e-06,100.0,11.98623,1.3242737,0.94
1e-05,0.01,1.3045825,1.3173727,0.02666666666666667
1e-05,0.1,2.7725139,1.017878,0.06666666666666667
1e-05,1.0,2.2630346,0.83721924,0.7433333333333333
1e-05,10.0,4.637403,1.2564245,0.95
1e-05,100.0,4.5526996,1.315931,0.9933333333333333
0.0001,0.01,2.0313532,1.078547,0.03
0.0001,0.1,1.7174886,1.1091838,0.19333333333333333
0.0001,1.0,2.8611305,0.9533028,0.5933333333333334
0.0001,10.0,2.6192374,1.0696858,0.9866666666666667
0.0001,100.0,7.0909767,1.3841207,0.9933333333333333
0.001,0.01,0.9656958,0.7229191,0.07333333333333333
0.001,0.1,1.9134872,0.8377425,0.23
0.001,1.0,4.756481,1.5958211,0.4533333333333333
0.001,10.0,2.3551042,1.3620093,0.98
0.001,100.0,8.957871,1.6495646,0.98
0.01,0.01,1.0533179,0.26669636,0.21333333333333335
0.01,0.1,1.4985424,0.8971769,0.30666666666666664
0.01,1.0,2.177622,1.5074272,0.6333333333333333
0.01,10.0,36.253048,11.19199,0.13333333333333333
0.01,100.0,6.217579,1.0691419,0.9966666666666667
2.0000000233721948e-07,5.0,4.1934857,0.99636436,0.9033333333333333
2.0000000233721948e-07,7.5,5.009944,1.2684562,0.9333333333333333
2.0000000233721948e-07,10.0,3.8354354,1.7368604,0.8933333333333333
2.0000000233721948e-07,12.5,6.2143703,1.5897237,0.8366666666666667
2.0000000233721948e-07,15.0,7.4283333,1.5411751,0.9066666666666666
6.000000212225132e-07,5.0,3.6597314,1.0977405,0.9466666666666667
6.000000212225132e-07,7.5,2.0533302,1.2319177,0.9766666666666667
6.000000212225132e-07,10.0,5.4503427,1.3986695,0.9166666666666666
6.000000212225132e-07,12.5,1.9994637,1.1040946,0.9866666666666667
6.000000212225132e-07,15.0,4.846703,1.1541984,0.9566666666666667
9.999999974752427e-07,5.0,1.5588338,0.8997087,0.9966666666666667
9.999999974752427e-07,7.5,4.984738,1.2973975,0.8733333333333333
9.999999974752427e-07,10.0,2.4904711,1.239303,0.9666666666666667
9.999999974752427e-07,12.5,4.750831,1.0991695,0.92
9.999999974752427e-07,15.0,3.0913599,0.94431806,0.9833333333333333
1.3999999737279722e-06,5.0,4.0028467,1.331993,0.85
1.3999999737279722e-06,7.5,2.61282,1.4754647,0.9766666666666667
1.3999999737279722e-06,10.0,3.5626872,1.5748218,0.9533333333333334
1.3999999737279722e-06,12.5,5.9512377,1.3298815,0.9066666666666666
1.3999999737279722e-06,15.0,1.7641813,1.2854646,0.9933333333333333
1.7999999499807018e-06,5.0,3.4070647,1.3422624,0.9033333333333333
1.7999999499807018e-06,7.5,1.5836043,0.99336547,0.9933333333333333
1.7999999499807018e-06,10.0,4.9544287,1.1127238,0.9333333333333333
1.7999999499807018e-06,12.5,2.4126189,1.371914,0.9733333333333334
1.7999999499807018e-06,15.0,5.37171,1.0497953,0.9166666666666666
2.0000000233721948e-07,2.5,2.2780697,1.0732471,0.9266666666666666
2.0000000233721948e-07,3.75,8.429685,1.8990971,0.73
2.0000000233721948e-07,5.0,2.422199,1.2819747,0.9666666666666667
2.0000000233721948e-07,6.25,3.8558724,0.8529106,0.9366666666666666
2.0000000233721948e-07,7.5,3.1752808,0.78464437,0.9666666666666667
6.000000212225132e-07,2.5,3.3298316,1.2249272,0.8366666666666667
6.000000212225132e-07,3.75,3.405847,1.347581,0.8
6.000000212225132e-07,5.0,1.9156941,1.4945426,0.9666666666666667
6.000000212225132e-07,6.25,4.867851,1.4258037,0.86
6.000000212225132e-07,7.5,2.1595695,1.531084,0.9833333333333333
9.999999974752427e-07,2.5,2.4774055,1.5144088,0.8933333333333333
9.999999974752427e-07,3.75,5.823528,1.1307698,0.67
9.999999974752427e-07,5.0,14.112363,2.5140846,0.6366666666666667
9.999999974752427e-07,6.25,4.428807,1.4210286,0.8666666666666667
9.999999974752427e-07,7.5,2.2913697,1.5170541,0.97
1.3999999737279722e-06,2.5,4.7535996,1.590675,0.7966666666666666
1.3999999737279722e-06,3.75,3.2915869,1.5276754,0.7933333333333333
1.3999999737279722e-06,5.0,2.349003,1.6369759,0.94
1.3999999737279722e-06,6.25,3.7902353,1.3482475,0.8166666666666667
1.3999999737279722e-06,7.5,4.7796826,1.1066691,0.8933333333333333
1.7999999499807018e-06,2.5,1.7827246,1.5716012,0.9166666666666666
1.7999999499807018e-06,3.75,3.399118,0.79791343,0.91
1.7999999499807018e-06,5.0,2.4717748,1.0009973,0.9633333333333334
1.7999999499807018e-06,6.25,4.278169,1.6551359,0.89
1.7999999499807018e-06,7.5,2.0669377,1.1424186,0.9966666666666667
2.0000000233721948e-07,2.5,2.9378793,1.2504097,0.8966666666666666
2.0000000233721948e-07,3.75,2.6050773,1.1242952,0.8966666666666666
2.0000000233721948e-07,5.0,4.895123,1.3482133,0.88
2.0000000233721948e-07,6.25,2.3890283,1.3969254,0.97
2.0000000233721948e-07,7.5,3.1236076,1.176016,0.96
6.000000212225132e-07,2.5,2.6320248,1.1811771,0.8966666666666666
6.000000212225132e-07,3.75,3.5293157,0.85896564,0.8666666666666667
6.000000212225132e-07,5.0,3.7862003,1.3109404,0.8866666666666667
6.000000212225132e-07,6.25,3.1184123,0.92012775,0.9666666666666667
